SHOT_ZONE_BASIC,SHOT_ZONE_AREA,FGA,FGM,FG_PCT,PLAYER
Mid-Range,Left Side(L),20,10,0.5,Nikola Jokić
Mid-Range,Right Side Center(RC),7,4,0.5714,Nikola Jokić
Mid-Range,Right Side(R),16,6,0.375,Nikola Jokić
Restricted Area,Center(C),215,160,0.7442,Nikola Jokić
Right Corner 3,Right Side(R),5,3,0.6,Nikola Jokić
Above the Break 3,Center(C),131,54,0.4122,Stephen Curry
Above the Break 3,Left Side Center(LC),129,48,0.3721,Stephen Curry
Above the Break 3,Right Side Center(RC),158,57,0.3608,Stephen Curry
In The Paint (Non-RA),Center(C),80,43,0.5375,Stephen Curry
In The Paint (Non-RA),Right Side(R),10,3,0.3,Stephen Curry
Left Corner 3,Left Side(L),19,10,0.5263,Stephen Curry
Mid-Range,Center(C),15,7,0.4667,Stephen Curry
Mid-Range,Left Side Center(LC),16,7,0.4375,Stephen Curry
Mid-Range,Left Side(L),23,13,0.5652,Stephen Curry
Mid-Range,Right Side Center(RC),10,6,0.6,Stephen Curry
Mid-Range,Right Side(R),27,14,0.5185,Stephen Curry
Restricted Area,Center(C),115,80,0.6957,Stephen Curry
Right Corner 3,Right Side(R),11,6,0.5455,Stephen Curry
