GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,PLAYER_NAME_LABEL,TS_PCT,EFG_PCT,THREE_RATE,AST_TOV
By Year,2010-11,1610612744,GSW,2011-04-13T00:00:00,74,33,41,0.446,2489.05,505,1053,0.48,151,342,0.442,212,227,0.934,52,234,286,432,226,109,20,40.0,233,193,1373,-17,2525.2,5,0,2500.0,7,12,16,15,7,13,13,7,15,15,5,13,13,2,5,13,13,7,7,7,5,9,16,14,13,15,13,12,6,13,,Stephen Curry,0.5955,0.5513,0.3248,1.91
By Year,2009-10,1610612744,GSW,2010-04-14T00:00:00,80,25,55,0.313,2896.233333,528,1143,0.462,166,380,0.437,177,200,0.885,48,308,356,472,243,152,19,49.0,252,208,1399,-186,2804.2,12,1,2735.0,1,14,17,16,2,12,11,12,14,14,7,15,15,16,6,4,3,6,4,3,7,13,17,12,12,17,10,5,4,12,,Stephen Curry,0.5682,0.5346,0.3325,1.94
By Year,2025-26,1610612745,HOU,2026-04-07T00:00:00,76,47,29,0.618,2763.366666,693,1340,0.517,183,443,0.413,395,450,0.878,39,373,412,360,240,61,69,38.0,139,363,1964,326,3148.4,7,0,3179.0,7,9,14,14,8,8,10,9,3,3,7,9,9,10,10,13,12,7,7,11,12,7,14,6,8,9,9,14,10,8,,Kevin Durant,0.6385,0.5854,0.3306,1.5
By Year,2024-25,1610612756,PHX,2025-03-30T00:00:00,62,33,29,0.532,2264.683333,592,1124,0.527,160,372,0.43,303,361,0.839,23,351,374,263,190,50,77,32.0,104,331,1647,-38,2681.3,5,0,2698.0,13,13,14,17,13,12,13,5,6,8,3,15,15,18,15,14,14,10,14,13,8,6,5,9,12,17,14,15,10,14,,Kevin Durant,0.6419,0.5979,0.331,1.38
By Year,2023-24,1610612756,PHX,2024-04-14T00:00:00,75,44,31,0.587,2790.6,751,1436,0.523,168,407,0.413,362,423,0.856,41,454,495,378,244,69,91,49.0,133,361,2032,291,3429.0,14,1,3393.0,8,11,16,16,6,3,4,6,5,6,8,12,11,16,8,9,9,3,6,8,4,15,9,7,5,10,6,11,6,6,,Kevin Durant,0.6263,0.5815,0.2834,1.55
By Year,2022-23,-1,TOT,2023-04-06T00:00:00,47,34,13,0.723,1671.733333,483,862,0.56,93,230,0.404,307,334,0.919,17,296,313,235,156,34,67,25.0,99,272,1366,258,2241.1,5,1,2209.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,Kevin Durant,0.6769,0.6143,0.2668,1.51
By Year,2022-23,1610612756,PHX,2023-04-06T00:00:00,8,8,0,1.0,269.216666,73,128,0.57,22,41,0.537,40,48,0.833,3,48,51,28,20,2,10,4.0,7,37,208,69,327.2,0,0,333.0,19,19,1,1,19,19,19,1,19,19,1,19,19,19,19,19,19,19,19,19,19,1,1,19,19,16,19,19,10,19,,Kevin Durant,0.6974,0.6562,0.3203,1.4
By Year,2022-23,1610612751,BKN,2023-01-08T00:00:00,39,26,13,0.667,1402.516666,410,734,0.559,71,189,0.376,267,286,0.934,14,248,262,207,136,32,57,21.0,92,235,1158,189,1913.9,5,1,1876.0,16,14,5,9,16,16,16,2,16,16,14,16,16,1,17,16,16,14,16,16,14,3,4,16,16,14,16,15,6,16,,Kevin Durant,0.6734,0.6069,0.2575,1.52
By Year,2021-22,1610612751,BKN,2022-04-10T00:00:00,55,36,19,0.655,2047.4,578,1115,0.518,115,300,0.383,372,409,0.91,29,378,407,351,191,48,52,38.0,113,325,1643,269,2766.9,18,4,2716.0,15,12,6,13,15,14,14,8,13,13,13,11,12,2,14,12,13,8,13,15,16,7,6,12,13,13,13,6,1,13,,Kevin Durant,0.6344,0.57,0.2691,1.84
By Year,2020-21,1610612751,BKN,2021-05-16T00:00:00,35,23,12,0.657,1156.766666,324,603,0.537,85,189,0.45,210,238,0.882,13,234,247,195,120,25,45,25.0,70,187,943,279,1621.9,12,0,1610.0,17,15,4,12,17,17,17,3,15,16,2,17,17,8,18,17,17,16,17,17,17,4,3,17,17,11,17,13,10,17,,Kevin Durant,0.6662,0.6078,0.3134,1.62
By Year,2018-19,1610612744,GSW,2019-04-10T00:00:00,78,54,24,0.692,2701.533333,721,1383,0.521,137,388,0.353,448,506,0.885,33,464,497,457,225,58,84,38.0,155,381,2027,657,3509.9,16,2,3402.0,5,3,12,8,9,5,7,7,9,7,17,6,6,7,12,8,8,1,9,12,6,7,16,5,7,3,4,8,4,5,,Kevin Durant,0.6312,0.5709,0.2805,2.03
By Year,2017-18,1610612744,GSW,2018-04-10T00:00:00,68,49,19,0.721,2325.1,630,1222,0.516,173,413,0.419,359,404,0.889,31,433,464,366,207,50,119,38.0,133,326,1792,349,3197.8,15,2,3133.0,11,8,6,5,12,11,12,10,4,5,5,13,13,6,13,10,11,5,12,13,1,7,9,10,11,8,8,9,4,9,,Kevin Durant,0.6401,0.5863,0.338,1.77
By Year,2016-17,1610612744,GSW,2017-04-12T00:00:00,62,51,11,0.823,2070.366666,551,1026,0.537,117,312,0.375,336,384,0.875,39,474,513,300,138,66,99,27.0,117,283,1555,711,2977.6,23,1,2815.0,13,6,3,2,14,15,15,4,12,12,15,14,14,11,10,7,7,9,15,10,3,5,7,15,15,2,12,4,6,12,,Kevin Durant,0.6506,0.5941,0.3041,2.17
By Year,2015-16,1610612760,OKC,2016-04-11T00:00:00,72,52,20,0.722,2577.633333,698,1381,0.505,186,481,0.387,447,498,0.898,45,544,589,361,250,69,85,38.0,137,326,2029,647,3489.3,27,1,3473.0,10,4,9,4,10,7,8,13,2,2,11,7,8,5,7,2,4,6,4,8,5,7,13,10,6,4,5,1,6,4,,Kevin Durant,0.634,0.5728,0.3483,1.44
By Year,2014-15,1610612760,OKC,2015-02-19T00:00:00,27,18,9,0.667,912.633333,238,467,0.51,64,159,0.403,146,171,0.854,16,162,178,110,74,24,25,8.0,40,133,686,168,1137.6,5,0,1136.0,18,17,2,9,18,18,18,12,17,18,9,18,18,17,16,18,18,18,18,18,18,2,2,18,18,15,18,15,10,18,,Kevin Durant,0.6326,0.5782,0.3405,1.49
By Year,2013-14,1610612760,OKC,2014-04-16T00:00:00,81,58,23,0.716,3121.716666,849,1688,0.503,192,491,0.391,703,805,0.873,58,540,598,445,285,103,59,42.0,174,522,2593,509,4179.1,27,3,4152.0,2,2,11,6,2,1,1,14,1,1,10,2,2,12,4,3,3,2,1,3,13,12,19,3,1,5,1,1,2,1,,Kevin Durant,0.6349,0.5598,0.2909,1.56
By Year,2012-13,1610612760,OKC,2013-04-15T00:00:00,81,60,21,0.741,3118.866666,731,1433,0.51,139,334,0.416,679,750,0.905,46,594,640,374,280,116,105,44.0,143,526,2280,721,3992.0,19,3,3875.0,2,1,10,3,3,4,5,11,8,11,6,3,3,3,6,1,1,4,2,1,2,14,15,2,3,1,2,5,2,2,,Kevin Durant,0.6466,0.5586,0.2331,1.34
By Year,2011-12,1610612760,OKC,2012-04-25T00:00:00,66,47,19,0.712,2546.35,643,1297,0.496,133,344,0.387,431,501,0.86,40,487,527,231,248,88,77,42.0,133,324,1850,369,3075.9,18,0,3071.0,12,9,6,7,11,10,11,15,10,10,12,8,7,15,9,5,6,11,5,5,8,12,9,13,10,7,10,6,10,10,,Kevin Durant,0.6096,0.547,0.2652,0.93
By Year,2010-11,1610612760,OKC,2011-04-13T00:00:00,78,52,26,0.667,3037.65,711,1538,0.462,145,414,0.35,594,675,0.88,57,476,533,214,218,88,76,49.0,159,412,2161,271,3395.6,14,0,3381.0,5,4,13,9,4,6,3,18,7,4,18,4,4,9,5,6,5,13,11,5,10,15,17,4,4,12,7,11,10,7,,Kevin Durant,0.5888,0.5094,0.2692,0.98
By Year,2009-10,1610612760,OKC,2010-04-14T00:00:00,82,50,32,0.61,3239.316666,794,1668,0.476,128,351,0.365,756,840,0.9,105,518,623,231,271,112,84,67.0,171,539,2472,431,3883.1,25,0,3846.0,1,7,17,15,1,2,2,16,11,9,16,1,1,4,1,4,2,11,3,2,6,17,18,1,2,6,3,3,10,3,,Kevin Durant,0.6066,0.5144,0.2104,0.85
By Year,2008-09,1610612760,OKC,2009-04-15T00:00:00,74,18,56,0.243,2884.916666,661,1390,0.476,97,230,0.422,452,524,0.863,77,405,482,205,225,96,53,73.0,134,345,1871,-501,2978.9,15,0,2953.0,9,17,18,18,5,9,6,17,14,14,4,5,5,14,2,11,10,15,9,4,15,18,12,8,9,18,11,9,10,11,,Kevin Durant,0.5773,0.5104,0.1655,0.91
By Year,2007-08,1610612760,SEA,2008-04-16T00:00:00,80,19,61,0.238,2768.016666,587,1366,0.43,59,205,0.288,391,448,0.873,70,278,348,192,232,78,75,85.0,122,311,1624,-651,2556.6,1,0,2529.0,4,16,19,19,7,13,9,19,18,15,19,10,10,13,3,15,15,17,8,7,11,19,8,14,14,19,15,18,10,15,,Kevin Durant,0.5195,0.4513,0.1501,0.83
By Year,2025-26,-1,TOT,2026-04-05T00:00:00,68,39,29,0.574,2379.616666,475,1087,0.437,209,557,0.375,452,513,0.881,39,292,331,548,238,77,28,77.0,134,316,1611,132,2907.2,20,2,2909.0,1,2,3,3,2,1,1,2,1,1,1,2,2,1,2,3,3,2,2,2,3,2,2,2,1,2,2,3,3,2,,James Harden,0.6136,0.5331,0.5124,2.3
By Year,2025-26,1610612739,CLE,2026-04-05T00:00:00,24,18,6,0.75,820.333333,152,316,0.481,74,168,0.44,115,139,0.827,12,107,119,190,76,20,12,17.0,51,85,493,112,940.8,6,0,940.0,18,18,1,3,18,18,18,2,18,18,1,19,19,19,19,19,19,17,18,19,18,2,3,19,18,17,19,16,16,18,,James Harden,0.6536,0.5981,0.5316,2.5
By Year,2025-26,1610612746,LAC,2026-01-30T00:00:00,44,21,23,0.477,1559.283333,323,771,0.419,135,389,0.347,337,374,0.901,27,185,212,358,162,57,16,60.0,83,231,1118,20,1966.4,14,2,1969.0,15,17,9,19,16,12,12,16,12,12,17,10,10,1,17,17,17,14,13,15,16,10,4,15,12,19,13,12,12,13,,James Harden,0.5975,0.5065,0.5045,2.21
By Year,2024-25,1610612746,LAC,2025-04-13T00:00:00,79,50,29,0.633,2789.033333,531,1295,0.41,235,668,0.352,505,578,0.874,55,401,456,687,341,118,55,65.0,162,371,1802,344,3557.7,38,3,3526.0,5,6,17,13,6,9,8,18,6,5,14,9,9,6,8,4,5,2,4,8,5,12,10,9,9,6,7,2,9,7,,James Harden,0.5815,0.5008,0.5158,2.01
By Year,2023-24,1610612746,LAC,2024-04-12T00:00:00,72,46,26,0.639,2469.733333,352,822,0.428,186,488,0.381,302,344,0.878,34,335,369,614,185,77,57,42.0,127,238,1192,291,2772.8,23,3,2629.0,10,9,13,12,10,11,11,15,8,8,4,14,14,5,14,8,9,5,12,12,4,5,8,14,11,8,10,8,9,10,,James Harden,0.6123,0.5414,0.5937,3.32
By Year,2022-23,1610612755,PHI,2023-04-06T00:00:00,58,39,19,0.672,2135.033333,371,842,0.441,161,418,0.385,313,361,0.867,40,314,354,618,195,71,31,52.0,112,267,1216,277,2678.8,36,5,2553.0,14,14,8,6,12,10,10,9,11,11,3,11,12,9,13,10,10,4,11,13,10,9,7,10,10,10,11,3,5,11,,James Harden,0.6075,0.5362,0.4964,3.17
By Year,2021-22,-1,TOT,2022-04-09T00:00:00,65,40,25,0.615,2419.733333,407,992,0.41,148,448,0.33,470,536,0.877,55,445,500,667,284,82,36,93.0,153,375,1432,173,3102.5,42,11,2983.0,2,1,2,2,1,2,2,3,2,2,3,1,1,2,1,1,1,1,1,1,1,3,3,1,2,1,1,1,2,1,,James Harden,0.5831,0.4849,0.4516,2.35
By Year,2021-22,1610612755,PHI,2022-04-09T00:00:00,21,14,7,0.667,792.45,115,286,0.402,46,141,0.326,166,186,0.892,13,136,149,220,72,26,5,27.0,48,120,442,150,971.8,13,2,919.0,19,19,3,8,19,19,19,20,19,19,20,18,18,2,18,18,18,16,19,18,20,3,2,18,19,14,18,14,12,19,,James Harden,0.6008,0.4825,0.493,3.06
By Year,2021-22,1610612751,BKN,2022-02-02T00:00:00,44,26,18,0.591,1627.283333,292,706,0.414,102,307,0.332,304,350,0.869,42,309,351,447,212,56,31,66.0,105,255,990,23,2130.7,29,9,2064.0,15,16,6,16,15,15,13,17,15,14,19,13,13,7,10,11,11,11,10,16,10,13,6,13,15,18,12,6,3,12,,James Harden,0.5756,0.4858,0.4348,2.11
By Year,2020-21,-1,TOT,2021-05-15T00:00:00,44,31,13,0.705,1608.866666,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,177,53,33,47.0,99,224,1083,102,2294.1,32,12,2199.0,3,3,1,1,3,3,3,1,3,3,2,3,3,3,3,2,2,3,3,3,2,1,1,3,3,3,3,2,1,3,,James Harden,0.6181,0.5484,0.455,2.68
By Year,2020-21,1610612751,BKN,2021-05-15T00:00:00,36,29,7,0.806,1318.85,282,599,0.471,96,262,0.366,225,263,0.856,30,277,307,392,143,46,27,36.0,85,186,885,141,1917.4,28,12,1826.0,17,15,3,2,17,16,16,3,16,16,11,16,16,14,15,13,13,13,14,17,13,4,5,17,16,15,14,7,2,14,,James Harden,0.6191,0.5509,0.4374,2.74
By Year,2020-21,1610612745,HOU,2021-01-12T00:00:00,8,2,6,0.25,290.016666,60,135,0.444,25,72,0.347,53,60,0.883,5,36,41,83,34,7,6,11.0,14,38,198,-39,376.7,4,0,373.0,20,20,1,20,20,20,20,6,20,20,16,20,20,3,20,20,20,20,20,20,19,1,1,20,20,20,20,17,16,20,,James Harden,0.6134,0.537,0.5333,2.44
By Year,2019-20,1610612745,HOU,2020-08-14T00:00:00,68,43,25,0.632,2482.55,672,1514,0.444,299,843,0.355,692,800,0.865,70,376,446,512,308,125,60,92.0,227,524,2335,286,3885.2,22,4,3962.0,12,11,10,14,9,4,4,7,2,2,13,5,5,11,3,6,6,9,7,6,1,15,18,5,4,9,5,10,6,4,,James Harden,0.6257,0.5426,0.5568,1.66
By Year,2018-19,1610612745,HOU,2019-04-09T00:00:00,78,51,27,0.654,2866.733333,843,1909,0.442,378,1028,0.368,754,858,0.879,66,452,518,586,387,158,58,112.0,244,564,2818,358,4579.6,34,7,4732.0,6,5,14,11,5,1,1,8,1,1,8,1,2,4,4,2,2,7,2,1,3,20,20,1,1,5,1,4,4,1,,James Harden,0.6162,0.5406,0.5385,1.51
By Year,2017-18,1610612745,HOU,2018-04-10T00:00:00,72,59,13,0.819,2550.816666,651,1449,0.449,265,722,0.367,624,727,0.858,41,348,389,630,315,126,50,98.0,169,505,2191,524,3815.8,31,4,3827.0,10,1,5,1,8,5,6,5,3,4,9,7,7,13,12,7,7,3,6,5,7,17,11,6,6,1,6,5,6,6,,James Harden,0.6193,0.5407,0.4983,2.0
By Year,2016-17,1610612745,HOU,2017-04-12T00:00:00,81,54,27,0.667,2946.716666,674,1533,0.44,262,756,0.347,746,881,0.847,95,564,659,907,464,121,38,86.0,215,500,2356,425,4520.3,64,22,4502.0,3,4,14,8,4,3,3,11,4,3,18,2,1,16,1,1,1,1,1,7,8,14,17,7,3,2,2,1,1,2,,James Harden,0.6133,0.5251,0.4932,1.95
By Year,2015-16,1610612745,HOU,2016-04-13T00:00:00,82,41,41,0.5,3124.683333,710,1617,0.439,236,657,0.359,720,837,0.86,63,438,501,612,374,139,51,95.0,229,555,2376,125,4091.2,23,3,4105.0,1,13,20,18,1,2,2,12,5,6,12,3,3,12,5,3,3,6,3,4,6,16,19,2,2,16,3,8,9,3,,James Harden,0.5984,0.5121,0.4063,1.64
By Year,2014-15,1610612745,HOU,2015-04-15T00:00:00,81,56,25,0.691,2980.883333,647,1470,0.44,208,555,0.375,715,824,0.868,75,384,459,565,321,154,60,106.0,208,542,2217,335,3936.3,21,4,3877.0,3,2,10,5,3,6,5,10,7,7,6,4,4,8,2,5,4,8,5,2,1,18,16,3,5,7,4,11,6,5,,James Harden,0.6049,0.5109,0.3776,1.76
By Year,2013-14,1610612745,HOU,2014-04-14T00:00:00,73,48,25,0.658,2777.483333,549,1205,0.456,177,483,0.366,576,665,0.866,61,283,344,446,265,115,29,61.0,177,427,1851,409,3099.8,14,1,3106.0,9,7,10,10,7,8,9,4,10,10,10,8,8,10,7,12,12,12,9,9,12,11,12,8,8,3,9,12,14,9,,James Harden,0.618,0.529,0.4008,1.68
By Year,2012-13,1610612745,HOU,2013-04-17T00:00:00,78,43,35,0.551,2984.55,585,1337,0.438,179,486,0.368,674,792,0.851,62,317,379,455,295,142,38,106.0,178,534,2023,197,3405.3,9,1,3396.0,6,11,19,17,2,7,7,13,9,9,7,6,6,15,6,9,8,10,8,3,8,18,13,4,7,12,8,15,14,8,,James Harden,0.6001,0.5045,0.3635,1.54
By Year,2011-12,1610612760,OKC,2012-04-22T00:00:00,62,44,18,0.71,1946.066666,309,629,0.491,114,292,0.39,312,369,0.846,30,222,252,229,137,62,15,50.0,150,262,1044,367,1783.9,0,0,1793.0,13,10,6,4,13,13,15,1,13,15,2,12,11,17,15,14,15,15,15,14,17,8,9,11,13,4,16,18,16,15,,James Harden,0.6596,0.5819,0.4642,1.67
By Year,2010-11,1610612760,OKC,2011-04-13T00:00:00,82,55,27,0.671,2188.616666,298,684,0.436,113,324,0.349,289,343,0.843,42,213,255,176,106,92,24,46.0,207,257,998,210,1810.0,0,0,1774.0,1,3,14,7,11,14,14,14,14,13,15,15,15,18,10,15,14,18,16,10,14,7,15,12,14,11,15,18,16,16,,James Harden,0.5977,0.5183,0.4737,1.66
By Year,2009-10,1610612760,OKC,2010-04-14T00:00:00,76,47,29,0.618,1738.383333,233,578,0.403,93,248,0.375,194,240,0.808,47,197,244,137,106,80,20,45.0,200,192,753,184,1445.3,0,0,1427.0,8,8,17,15,14,17,17,19,17,17,5,17,17,20,9,16,16,19,16,11,15,6,14,16,17,13,17,18,16,17,,James Harden,0.5508,0.4836,0.4291,1.29
By Year,2025-26,1610612747,LAL,2026-04-02T00:00:00,64,43,21,0.672,2288.65,693,1457,0.476,254,694,0.366,503,645,0.78,41,454,495,530,255,105,34,28.0,153,464,2143,187,3694.0,34,8,3700.0,6,3,3,2,5,3,2,4,2,2,3,2,2,3,7,7,7,5,5,1,4,3,7,3,2,3,3,5,6,2,,Luka Dončić,0.6155,0.5628,0.4763,2.08
By Year,2024-25,-1,TOT,2025-04-11T00:00:00,50,31,19,0.62,1768.533333,461,1025,0.45,177,481,0.368,309,395,0.782,40,369,409,383,179,89,21,30.0,126,293,1408,344,2624.3,21,5,2597.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,Luka Dončić,0.5873,0.5361,0.4693,2.14
By Year,2024-25,1610612747,LAL,2025-04-11T00:00:00,28,18,10,0.643,984.016666,245,559,0.438,102,269,0.379,197,249,0.791,24,202,226,211,104,45,12,19.0,68,167,789,176,1443.7,11,2,1442.0,8,8,2,4,8,8,8,8,8,8,2,8,8,1,8,8,8,8,8,8,8,2,2,8,8,4,8,8,9,8,,Luka Dončić,0.5901,0.5295,0.4812,2.03
By Year,2024-25,1610612742,DAL,2024-12-25T00:00:00,22,13,9,0.591,784.516666,216,466,0.464,75,212,0.354,112,146,0.767,16,167,183,172,75,44,9,11.0,58,126,619,168,1180.6,10,3,1155.0,9,9,1,6,9,9,9,5,9,9,4,9,9,4,9,9,9,9,9,9,9,1,1,9,9,5,9,9,8,9,,Luka Dončić,0.5837,0.544,0.4549,2.29
By Year,2023-24,1610612742,DAL,2024-04-10T00:00:00,70,46,24,0.657,2624.066666,804,1652,0.487,284,744,0.382,478,608,0.786,59,588,647,686,282,99,38,50.0,149,477,2370,319,4304.4,49,21,4261.0,2,1,5,3,1,1,1,2,1,1,1,3,3,2,3,1,1,1,2,2,1,6,5,2,1,1,1,1,1,1,,Luka Dončić,0.6173,0.5726,0.4504,2.43
By Year,2022-23,1610612742,DAL,2023-04-07T00:00:00,66,33,33,0.5,2390.5,719,1449,0.496,185,541,0.342,515,694,0.742,54,515,569,529,236,90,33,44.0,166,481,2138,128,3747.3,36,10,3667.0,3,6,8,8,2,2,3,1,5,5,7,1,1,7,5,3,4,6,7,3,5,4,9,1,3,8,2,4,4,3,,Luka Dončić,0.6093,0.56,0.3734,2.24
By Year,2021-22,1610612742,DAL,2022-04-10T00:00:00,65,44,21,0.677,2300.733333,641,1403,0.457,201,569,0.353,364,489,0.744,56,537,593,568,292,75,36,44.0,145,402,1847,146,3451.6,44,10,3431.0,5,2,3,1,4,5,4,7,3,3,5,5,5,6,4,2,2,2,1,5,2,4,4,6,4,7,4,2,4,4,,Luka Dončić,0.5707,0.5285,0.4056,1.95
By Year,2020-21,1610612742,DAL,2021-05-16T00:00:00,66,40,26,0.606,2262.366666,647,1351,0.479,192,548,0.35,344,471,0.73,54,473,527,567,281,64,36,51.0,152,364,1830,164,3331.9,26,11,3316.0,3,4,7,5,6,4,5,3,4,4,6,7,7,8,5,6,6,3,3,6,2,7,6,7,5,6,5,6,3,5,,Luka Dončić,0.5872,0.55,0.4056,2.02
By Year,2019-20,1610612742,DAL,2020-08-13T00:00:00,61,36,25,0.59,2047.25,581,1255,0.463,171,541,0.316,426,562,0.758,78,495,573,538,260,62,14,67.0,153,456,1759,254,3221.6,39,17,3193.0,7,5,6,7,7,6,6,6,6,5,9,4,4,5,2,4,3,4,4,7,7,9,7,4,6,2,6,3,2,6,,Luka Dončić,0.5854,0.5311,0.4311,2.07
By Year,2018-19,1610612742,DAL,2019-04-09T00:00:00,72,28,44,0.389,2317.733333,506,1186,0.427,168,514,0.327,346,485,0.713,86,477,563,429,247,77,25,52.0,137,404,1526,-118,2904.1,24,8,2890.0,1,7,9,9,3,7,7,9,7,7,8,6,6,9,1,5,5,7,6,4,6,8,3,5,7,9,7,7,6,7,,Luka Dončić,0.5452,0.4975,0.4334,1.74
By Year,2025-26,1610612743,DEN,2026-04-06T00:00:00,63,41,22,0.651,2215.583333,632,1112,0.568,111,292,0.38,387,467,0.829,184,628,812,686,241,90,52,50.0,172,423,1762,525,3950.4,54,33,3655.0,11,9,2,6,9,6,6,6,2,2,5,1,2,3,8,6,6,3,4,6,6,4,2,3,5,4,4,7,2,4,,Nikola Jokić,0.6687,0.6183,0.2626,2.85
By Year,2024-25,1610612743,DEN,2025-04-13T00:00:00,70,46,24,0.657,2570.8,786,1364,0.576,138,331,0.417,361,451,0.8,200,692,892,716,230,127,45,63.0,160,410,2071,594,4501.4,59,34,4161.0,9,5,3,4,2,2,2,5,1,1,1,3,3,11,6,3,3,1,6,1,10,8,1,6,2,3,2,4,1,2,,Nikola Jokić,0.6627,0.6268,0.2427,3.11
By Year,2023-24,1610612743,DEN,2024-04-14T00:00:00,79,55,24,0.696,2736.533333,822,1411,0.583,83,231,0.359,358,438,0.817,223,753,976,708,237,108,68,68.0,194,426,2085,682,4609.2,68,25,4204.0,3,1,3,1,1,1,1,3,6,8,6,4,4,7,2,2,2,2,5,3,1,11,6,2,1,1,1,1,4,1,,Nikola Jokić,0.6501,0.612,0.1637,2.99
By Year,2022-23,1610612743,DEN,2023-04-08T00:00:00,69,48,21,0.696,2323.016666,646,1022,0.632,57,149,0.383,341,415,0.822,167,650,817,678,247,87,47,49.0,174,392,1690,640,3842.4,58,29,3510.0,10,3,1,2,8,5,8,1,9,9,4,6,5,5,10,4,5,4,3,8,9,3,3,7,6,2,6,5,3,6,,Nikola Jokić,0.7015,0.66,0.1458,2.74
By Year,2021-22,1610612743,DEN,2022-04-07T00:00:00,74,46,28,0.622,2475.616666,764,1311,0.583,97,288,0.337,379,468,0.81,206,813,1019,584,281,109,63,66.0,191,483,2004,444,4337.8,66,19,4048.0,5,5,8,8,5,3,3,2,4,3,7,2,1,10,4,1,1,6,1,2,2,9,4,1,3,5,3,2,5,3,,Nikola Jokić,0.6605,0.6198,0.2197,2.08
By Year,2020-21,1610612743,DEN,2021-05-16T00:00:00,72,47,25,0.653,2487.883333,732,1293,0.566,92,237,0.388,342,394,0.868,205,575,780,599,222,95,48,62.0,192,418,1898,384,3939.5,60,16,3655.0,8,4,5,5,4,4,4,7,5,7,3,5,6,1,5,8,8,5,8,5,8,7,5,4,4,6,5,3,6,4,,Nikola Jokić,0.6472,0.6017,0.1833,2.7
By Year,2019-20,1610612743,DEN,2020-08-14T00:00:00,73,46,27,0.63,2335.45,565,1071,0.528,80,255,0.314,246,301,0.817,166,545,711,512,226,85,44,32.0,222,365,1456,255,3238.2,43,13,3017.0,6,5,6,7,7,8,7,8,8,6,10,9,9,8,11,9,10,8,7,9,11,1,10,9,8,10,9,8,7,9,,Nikola Jokić,0.6049,0.5649,0.2381,2.27
By Year,2018-19,1610612743,DEN,2019-04-10T00:00:00,80,53,27,0.663,2503.6,616,1206,0.511,83,270,0.307,289,352,0.821,228,637,865,580,248,108,55,67.0,228,418,1604,316,3753.0,56,12,3458.0,1,2,6,3,3,7,5,10,6,5,11,7,7,6,1,5,4,7,2,3,4,10,11,4,7,8,7,6,8,7,,Nikola Jokić,0.5893,0.5452,0.2239,2.34
By Year,2017-18,1610612743,DEN,2018-04-11T00:00:00,75,43,32,0.573,2442.6,504,1010,0.499,111,280,0.396,266,313,0.85,195,608,803,458,210,90,61,44.0,212,381,1385,355,3278.6,38,10,3059.0,4,8,9,9,6,9,9,11,2,4,2,8,8,2,7,7,7,9,9,6,3,2,8,8,9,7,8,10,9,8,,Nikola Jokić,0.6034,0.554,0.2772,2.18
By Year,2016-17,1610612743,DEN,2017-04-12T00:00:00,73,37,36,0.507,2037.733333,494,854,0.578,45,139,0.324,188,228,0.825,212,506,718,359,171,61,55,50.0,214,234,1221,298,2798.1,39,6,2575.0,6,10,10,10,10,10,10,4,10,10,9,10,10,4,3,10,9,10,10,11,4,4,9,10,10,9,10,9,10,10,,Nikola Jokić,0.6397,0.6048,0.1628,2.1
By Year,2015-16,1610612743,DEN,2016-04-13T00:00:00,80,31,49,0.388,1732.55,307,600,0.512,28,84,0.333,154,190,0.811,181,379,560,189,104,79,50,57.0,208,198,796,92,2034.5,16,0,1831.0,1,11,11,11,11,11,11,9,11,11,8,11,11,9,9,11,11,11,11,10,7,6,7,11,11,11,11,11,11,11,,Nikola Jokić,0.5822,0.535,0.14,1.82
