PLAYER_NAME_LABEL,ERA,FGA,FGM,AVG_DISTANCE,FG_PCT
Nikola Jokić,LAC,45,27,11.093807717856103,0.6
Nikola Jokić,MEM,9,5,16.98151010503496,0.5556
Nikola Jokić,MIA,14,9,11.722210803550098,0.6429
Nikola Jokić,MIN,25,17,9.419693926163797,0.68
Nikola Jokić,NOP,18,10,10.020090541465661,0.5556
Nikola Jokić,NYK,27,10,14.961865291464084,0.3704
Nikola Jokić,ORL,22,11,6.716603553024219,0.5
Nikola Jokić,PHX,7,7,11.959512299056263,1.0
Nikola Jokić,POR,25,17,12.574557770171438,0.68
Nikola Jokić,SAC,35,30,8.429350392341536,0.8571
Stephen Curry,BKN,15,8,22.715762412638576,0.5333
Stephen Curry,CHA,16,9,18.966263446848867,0.5625
Stephen Curry,DAL,27,14,18.838518908905414,0.5185
Stephen Curry,GSW,386,182,19.71634640536131,0.4715
Stephen Curry,IND,23,8,20.84291759079331,0.3478
Stephen Curry,LAC,23,9,21.25453598183162,0.3913
Stephen Curry,LAL,14,6,19.225008060826728,0.4286
Stephen Curry,MIL,19,8,16.89331011757411,0.4211
Stephen Curry,MIN,18,7,18.310350580797056,0.3889
Stephen Curry,NOP,11,2,16.687975367481286,0.1818
Stephen Curry,OKC,13,4,14.50704234676017,0.3077
Stephen Curry,ORL,23,12,20.31988194813153,0.5217
Stephen Curry,PHX,13,3,22.11891871874066,0.2308
Stephen Curry,POR,48,28,20.41036634339887,0.5833
Stephen Curry,SAS,51,29,19.758849279969052,0.5686
Stephen Curry,TOR,30,12,15.664005296660626,0.4
Stephen Curry,UTA,14,7,20.34495555392772,0.5
